anime_name;anime_url;image_path;created_at;updated_at
Kishuku Gakkou no Juliet;https://animem.org/kishuku-gakkou-no-juliet;/img/anime_188.jpg;2022-06-07;2022-06-07
Kiss x Sis (TV) Series;https://animem.org/Kiss_x_Sis_(TV)_Series;/img/anime_189.jpg;2022-06-07;2022-06-07
Kiznaiver;https://animem.org/kiznaiver;/img/anime_190.jpg;2022-06-07;2022-06-07
Knight's & Magic;https://animem.org/knights-magic;/img/anime_191.jpg;2022-06-07;2022-06-07
Kobayashi-san Chi no Maid Dragon;https://animem.org/kobayashi-san-chi-no-maid-dragon;/img/anime_192.jpg;2022-06-07;2022-06-07
Koi to Producer: EVOL x LOVE;https://animem.org/koi-to-producer-evol-x-love;/img/anime_193.jpg;2022-06-07;2022-06-07
Koi to Uso;https://animem.org/Koi_to_Uso;/img/anime_194.jpg;2022-06-07;2022-06-07
Koi to Yobu ni wa Kimochi Warui;https://animem.org/koi-to-yobu-ni-wa-kimochi-warui;/img/anime_195.jpg;2022-06-07;2022-06-07
Koi wa Sekai Seifuku no Ato de;https://animem.org/Koi_wa_Sekai_Seifuku_no_Ato_de;/img/anime_196.jpg;2022-06-07;2022-06-07
Komi-san wa, Comyushou desu. Series;https://animem.org/Komi-san_wa,_Comyushou_desu._Series;/img/anime_197.jpg;2022-06-07;2022-06-07
Kono Bijutsubu ni wa Mondai ga Aru!;https://animem.org/kono-bijutsubu-ni-wa-mondai-ga-aru;/img/anime_198.jpg;2022-06-07;2022-06-07
Kono Healer, Mendokusai;https://animem.org/Kono_Healer,_Mendokusai;/img/anime_199.jpg;2022-06-07;2022-06-07
Kono oto Tomare;https://animem.org/kono-oto-tomare;/img/anime_200.jpg;2022-06-07;2022-06-07
Kono Subarashii Sekai ni Shukufuku wo!;https://animem.org/kono-subarashii-sekai-ni-shukufuku-wo;/img/anime_201.jpg;2022-06-07;2022-06-07
Kono Yo no Hate de Koi wo Utau Shoujo YU-NO;https://animem.org/kono-yo-no-hate-de-koi-wo-utau-shoujo-yu-no;/img/anime_202.jpg;2022-06-07;2022-06-07
